geo,time,na_item,values
DE,2015-01-01,Export,326026.3
DE,2015-04-01,Export,332352.8
DE,2015-07-01,Export,332452.1
DE,2015-10-01,Export,331127.2
DE,2016-01-01,Export,334422.9
DE,2016-04-01,Export,338828
DE,2016-07-01,Export,338231.8
DE,2016-10-01,Export,340715.9
DE,2017-01-01,Export,348615.4
DE,2017-04-01,Export,355438.6
DE,2017-07-01,Export,359413.3
DE,2017-10-01,Export,363951.1
DE,2018-01-01,Export,365433.2
DE,2018-04-01,Export,367453.6
DE,2018-07-01,Export,364008.9
DE,2018-10-01,Export,364704.5
DE,2019-01-01,Export,376123.2
DE,2019-04-01,Export,371585.6
DE,2019-07-01,Export,375162.7
DE,2019-10-01,Export,372347.4
DE,2020-01-01,Export,361898.1
DE,2020-04-01,Export,288862.6
DE,2020-07-01,Export,338877.8
DE,2020-10-01,Export,355571.6
DE,2021-01-01,Export,361450.4
DE,2021-04-01,Export,366385.5
DE,2021-07-01,Export,364895
DE,2021-10-01,Export,380130.7
DE,2022-01-01,Export,375502.2
DE,2022-04-01,Export,380139.2
DE,2022-07-01,Export,384975
DE,2022-10-01,Export,383054
DE,2023-01-01,Export,384834.2
DE,2023-04-01,Export,382184.5
DE,2023-07-01,Export,378640.5
DE,2023-10-01,Export,375394.7
DE,2024-01-01,Export,379468.6
DE,1991-01-01,Import,94569.4
DE,1991-04-01,Import,95074.7
DE,1991-07-01,Import,96085.2
DE,1991-10-01,Import,96113.3
DE,1992-01-01,Import,99474.3
DE,1992-04-01,Import,96779.7
DE,1992-07-01,Import,96499
DE,1992-10-01,Import,97790.1
DE,1993-01-01,Import,89868.4
DE,1993-04-01,Import,90542
DE,1993-07-01,Import,91861.1
DE,1993-10-01,Import,92029.5
DE,1994-01-01,Import,93875.2
DE,1994-04-01,Import,98084.9
DE,1994-07-01,Import,100301.9
DE,1994-10-01,Import,102126.1
DE,1995-01-01,Import,102757.7
DE,1995-04-01,Import,105761
DE,1995-07-01,Import,106659.1
DE,1995-10-01,Import,107669.6
DE,1996-01-01,Import,108076.6
DE,1996-04-01,Import,108918.5
DE,1996-07-01,Import,109844.6
DE,1996-10-01,Import,113970.1
DE,1997-01-01,Import,117345.3
DE,1997-04-01,Import,118327.7
DE,1997-07-01,Import,122257
DE,1997-10-01,Import,123856.7
